tiṣyā-pūrṇamāsa	tiṣya	?
tiṣyā@mra-tīrtha	tiṣya	?
tisṛdhanva	tisṛ	dhanva
tisras-kāram	tisṛkā	?
tisrā	tisṛkā	?
tīkṣṇakaṇṭa	tīkṣṇa	kaṇṭa
tīkṣṇakaṇṭaka	tīkṣṇa	kaṇṭaka
tīkṣṇakanda	tīkṣṇa	kanda
tīkṣṇakara	tīkṣṇa	kara
tīkṣṇakarman	tīkṣṇa	karman
tīkṣṇakalka	tīkṣṇa	kalka
tīkṣṇakāntā	tīkṣṇa	kāntā
tīkṣṇagandha	tīkṣṇa	gandha
tīkṣṇagandhaka	tīkṣṇa	gandhaka
tīkṣṇataṇḍulā	tīkṣṇa	taṇḍulā
tīkṣṇatara	tīkṣṇa	tara
tīkṣṇatā	tīkṣṇa	tā
tīkṣṇatuṇḍa	tīkṣṇa	tuṇḍa
tīkṣṇataila	tīkṣṇa	taila
tīkṣṇatva	tīkṣṇa	tva
tīkṣṇadaṃṣṭra	tīkṣṇa	daṃṣṭra
tīkṣṇadaṃṣṭraka	tīkṣṇa	daṃṣṭraka
tīkṣṇadaṃṣṭratā	tīkṣṇa	daṃṣṭratā
tīkṣṇadaṇḍa	tīkṣṇa	daṇḍa
tīkṣṇadhāra	tīkṣṇa	dhāra
tīkṣṇadhāraka	tīkṣṇa	dhāraka
tīkṣṇanāsika	tīkṣṇa	nāsika
tīkṣṇapattra	tīkṣṇa	pattra
tīkṣṇapuṣpa	tīkṣṇa	puṣpa
tīkṣṇapriya	tīkṣṇa	priya
tīkṣṇaphala	tīkṣṇa	phala
tīkṣṇabuddhi	tīkṣṇa	buddhi
tīkṣṇamañjarī	tīkṣṇa	mañjarī
tīkṣṇamārga	tīkṣṇa	mārga
tīkṣṇamūla	tīkṣṇa	mūla
tīkṣṇaraśmi	tīkṣṇa	raśmi
tīkṣṇarasa	tīkṣṇa	rasa
tīkṣṇarūpin	tīkṣṇa	rūpin
tīkṣṇalavaṇa	tīkṣṇa	lavaṇa
tīkṣṇaloha	tīkṣṇa	loha
tīkṣṇavaktra	tīkṣṇa	vaktra
tīkṣṇavarman	tīkṣṇa	varman
tīkṣṇavipāka	tīkṣṇa	vipāka
tīkṣṇaviṣa	tīkṣṇa	viṣa
tīkṣṇavṛṣaṇa	tīkṣṇa	vṛṣaṇa
tīkṣṇavega	tīkṣṇa	vega
tīkṣṇaśastra	tīkṣṇa	śastra
tīkṣṇaśigru	tīkṣṇa	śigru
tīkṣṇaśūka	tīkṣṇa	śūka
tīkṣṇaśṛṅga	tīkṣṇa	śṛṅga
tīkṣṇasāra	tīkṣṇa	sāra
tīkṣṇasrotas	tīkṣṇa	srotas
tīkṣṇahṛdaya-tva	tīkṣṇa	hṛdaya-tva
tīkṣṇā@ṃśu	tīkṣṇa	?
tīkṣṇā@gni	tīkṣṇa	?
tīkṣṇā@gra	tīkṣṇa	?
tīkṣṇā@mla	tīkṣṇa	?
tīkṣṇā@yasa	tīkṣṇa	?
tīkṣṇā@rcis	tīkṣṇa	?
tīkṣṇe@ṣu	tīkṣṇa	?
tīkṣṇo@pāya	tīkṣṇa	?
tīkṣṇīyas	tīkṣṇaka	?
tīrikā	tīra	?
tīragraha	tīra	graha
tīraja	tīra	ja
tīrabhāj	tīra	bhāj
tīrabhukti	tīra	bhukti
tīrabhuktīya	tīra	?
tīraruha	tīra	ruha
tīravilagna	tīra	vilagna
tīrastha	tīra	stha
tīrā@ṭa	tīra	?
tīrā@ntara	tīra	?
tīrṇapadī	tīrṇa	padī
tīrṇapratijña	tīrṇa	pratijña
tīrtvā	tīrṇa	?
tīrthakamaṇḍalu	tīrtha	kamaṇḍalu
tīrthakara	tīrtha	kara
tīrthakāka	tīrtha	kāka
tīrthakāśikā	tīrtha	kāśikā
tīrthakīrti	tīrtha	kīrti
tīrthakṛt	tīrtha	kṛt
tīrthagopāla	tīrtha	gopāla
tīrthaṃ-kara	tīrtha	ṃ-kara
tīrthacaryā	tīrtha	caryā
tīrthacintāmaṇi	tīrtha	cintāmaṇi
tīrthatama	tīrtha	tama
tīrthadeva	tīrtha	deva
tīrthadhvāṅkṣa	tīrtha	dhvāṅkṣa
tīrthanirṇaya	tīrtha	nirṇaya
tīrthapati	tīrtha	pati
tīrthapad	tīrtha	pad
tīrthapada	tīrtha	pada
tīrthapāda	tīrtha	pāda
tīrthapādīya	tīrtha	?
tīrthapūjā	tīrtha	pūjā
tīrthapratipādana	tīrtha	pratipādana
tīrthabhūta	tīrtha	bhūta
tīrthamahā-hrada	tīrtha	mahā-hrada
tīrthamahiman	tīrtha	mahiman
tīrthamāhātmya	tīrtha	māhātmya
tīrthayātrā	tīrtha	yātrā
tīrthayātrin	tīrtha	?
tīrtharājī	tīrtha	rājī
tīrthavat	tīrtha	vat
tīrthavāka	tīrtha	vāka
tīrthavāyasa	tīrtha	vāyasa
tīrthavāsin	tīrtha	vāsin
tīrthavidhi	tīrtha	vidhi
tīrthaśilā	tīrtha	śilā
tīrthaśravas	tīrtha	śravas
tīrthaśrāddha-prayoga	tīrtha	śrāddha-prayoga
tīrthasad	tīrtha	sad
tīrthaseni	tīrtha	seni
tīrthasevā	tīrtha	sevā
tīrthasevin	tīrtha	sevin
tīrthasaukhya	tīrtha	saukhya
tīrthā@sevana	tīrtha	?
tīrthe@śvara	tīrtha	?
tīrtho@daka	tīrtha	?
tīrthika	tīrthaka	?
tīrthīkaraṇa	tīrthī	karaṇa
tīrthīkṛ	tīrthī	?
tīrthīkṛta	tīrthī	kṛta
tīrthībhūta	tīrthī	bhūta
tīvrakaṇṭha	tīvra	kaṇṭha
tīvrakanda	tīvra	kanda
tīvragati	tīvra	gati
tīvragandhā	tīvra	gandhā
tīvrajvālā	tīvra	jvālā
tīvratā	tīvra	tā
tīvradāru	tīvra	dāru
tīvradyuti	tīvra	dyuti
tīvrapauruṣa	tīvra	pauruṣa
tīvramada	tīvra	mada
tīvramārga	tīvra	mārga
tīvraruja	tīvra	ruja
tīvraroṣa-samāviṣṭa	tīvra	roṣa-samāviṣṭa
tīvravipāka	tīvra	vipāka
tīvravedanā	tīvra	vedanā
tīvraśoka-samāviṣṭa	tīvra	śoka-samāviṣṭa
tīvraśokā@rta	tīvra	śokā@rta
tīvrasava	tīvra	sava
tīvrasut	tīvra	sut
tīvrasoma	tīvra	soma
tīvrā@titīvra	tīvra	?
tīvrā@nanda	tīvra	?
tīvrā@nta	tīvra	?
tīvrīkṛ	tīvrī	?
tīvrībhū	tīvrī	?
tugākṣīrī	tugā	kṣīrī
tugriya	tugra	?
tugryā-vṛdh	tugrya	?
tuṅgakūṭa	tuṅga	kūṭa
tuṅgatva	tuṅga	tva
tuṅgadhanvan	tuṅga	dhanvan
tuṅganātha	tuṅga	nātha
tuṅganābha	tuṅga	nābha
tuṅganāsa	tuṅga	nāsa
tuṅganāsikā	tuṅga	nāsikā
tuṅganāsikī	tuṅga	nāsikī
tuṅgaprastha	tuṅga	prastha
tuṅgabala	tuṅga	bala
tuṅgabīja	tuṅga	bīja
tuṅgabha	tuṅga	bha
tuṅgabhadra	tuṅga	bhadra
tuṅgamukha	tuṅga	mukha
tuṅgaveṇā	tuṅga	veṇā
tuṅgaśekhara	tuṅga	śekhara
tuṅgaśaila	tuṅga	śaila
tuṅge@śvara	tuṅga	?
tuṅgin	tuṅgaka	?
tuṅgīnāsa	tuṅgī	nāsa
tuṅgīpati	tuṅgī	pati
tuṅgī@śa	tuṅgī	?
tucchatva	tuccha	tva
tucchadaya	tuccha	daya
tucchadru	tuccha	dru
tucchadhānya	tuccha	dhānya
tucchadhānyaka	tuccha	dhānyaka
tucchaprāya	tuccha	prāya
tucchya	tucchīkṛta	?
tuji	tuj	?
tuṇḍadeva	tuṇḍa	deva
tuṇḍicela	tuṇḍi	cela
tuṇḍila	tuṇḍibha	?
tutthā@ñjana	tuttha	?
tunnavāya	tunna	vāya
tunnasevanī	tunna	sevanī
tunnaka	tunna	?
tundakūpikā	tunda	kūpikā
tundakūpī	tunda	kūpī
tundaparimārja	tunda	parimārja
tundaparimārjaka	tunda	parimārjaka
tundaparimṛja	tunda	parimṛja
tundavat	tunda	vat
tundā@di	tunda	?
tundikara	tundi	kara
tundita	tundika	?
tundin	tundika	?
tundibha	tundika	?
tundilaphalā	tundila	phalā
tundilita	tundila	?
tundilī-karaṇa	tundila	?
tubarayāvanāla	tubara	yāvanāla
tubaraka	tubara	?
tubarī-śimba	tubara	?
tumbavana	tumba	vana
tumbavīṇa	tumba	vīṇa
tumbaka	tumba	?
tumbakī	tumba	?
tumbi	tumba	?
tumbikā	tumba	?
tumbinī	tumba	?
tumbīpuṣpa	tumbī	puṣpa
tumbīvīṇā	tumbī	vīṇā
tumbukin	tumbuka	?
tumbaraka	tumbara	?
turas-peya	tur	?
turaga	tura	ga
turagātu	tura	gātu
turagin	tura	?
turaṃ-ga	tura	ṃ-ga
turaṃ-gama	tura	ṃ-gama
turaṃ-gin	tura	ṃ-gin
turayā	tura	yā
turaśravas	tura	śravas
turā@yaṇa	tura	?
turā-ṣāh	tura	?
turi	turāyaṇa	?
turī	turāyaṇa	?
turīpa	turāyaṇa	?
turīya	turāyaṇa	?
turyā	turāyaṇa	?
turakin	turaka	?
turakva	turaka	?
turaṣka	turaka	?
turīyakavaca	turīya	kavaca
turīyabhāga	turīya	bhāga
turīyabhāj	turīya	bhāj
turīyamāna	turīya	māna
turīyavarṇa	turīya	varṇa
turīyā@tīta	turīya	?
turīyā@ditya	turīya	?
turīyā@rdha	turīya	?
turyabhikṣā	turya	bhikṣā
turyayantra	turya	yantra
turyavah	turya	vah
turyā@śra	turya	?
turyauhī	turya	?
turuṣkakarpūra	turuṣka	karpūra
turuṣkagaṇḍa	turuṣka	gaṇḍa
turuṣkadatta	turuṣka	datta
turvaṇi	turva	?
turvaṇe	turva	?
turvaśa	turva	?
turvasu	turva	?
turvīti	turva	?
tulana	tulaka	?
tulākoṭi	tulā	koṭi
tulākoṣa	tulā	koṣa
tulāguḍa	tulā	guḍa
tulādāna	tulā	dāna
tulādhaṭa	tulā	dhaṭa
tulādhara	tulā	dhara
tulā@dhāna	tulā	?
tulādhāra	tulā	dhāra
tulādhāraṇa	tulā	dhāraṇa
tulā@dhiroha	tulā	?
tulā@dhirohaṇa	tulā	?
tulāpaddhati	tulā	paddhati
tulāparī@kṣā	tulā	parī@kṣā
tulāpuṃs	tulā	puṃs
tulāpuruṣa	tulā	puruṣa
tulāpragraha	tulā	pragraha
tulāpragrāha	tulā	pragrāha
tulābīja	tulā	bīja
tulābhavānī	tulā	bhavānī
tulābhāra	tulā	bhāra
tulābhṛt	tulā	bhṛt
tulāmāna	tulā	māna
tulāyaṣṭi	tulā	yaṣṭi
tulāvat	tulā	vat
tulāvarā@rdha	tulā	?
tulāvarā@rdhya	tulā	?
tulāsūtra	tulā	sūtra
tulita	tulā	?
tulyakakṣa	tulya	kakṣa
tulyakarmaka	tulya	karmaka
tulyakāla	tulya	kāla
tulyakālīya	tulya	?
tulyakulya	tulya	?
tulyakrama	tulya	krama
tulyagariman	tulya	gariman
tulyaguṇa	tulya	guṇa
tulyacodana	tulya	codana
tulyajātīya	tulya	?
tulyatarka	tulya	tarka
tulyatā	tulya	tā
tulyatejas	tulya	tejas
tulyatva	tulya	tva
tulyadarśana	tulya	darśana
tulyanaktaṃ-dina	tulya	naktaṃ-dina
tulyanāman	tulya	nāman
tulyanindā-stuti	tulya	nindā-stuti
tulyapāna	tulya	pāna
tulyabala	tulya	bala
tulyabhāvanā	tulya	bhāvanā
tulyamūlya	tulya	mūlya
tulyayogi-tā	tulya	yogi-tā
tulyayogo@pamā	tulya	yogo@pamā
tulyarūpa	tulya	rūpa
tulyalakṣman	tulya	lakṣman
tulyavaṃśa	tulya	vaṃśa
tulyavat	tulya	vat
tulyavayas	tulya	vayas
tulyavikrama	tulya	vikrama
tulyavīrya	tulya	vīrya
tulyavṛtti	tulya	vṛtti
tulyaśas	tulya	śas
tulyaśikha	tulya	śikha
tulyaśuddhi	tulya	śuddhi
tulyaśodhana	tulya	śodhana
tulyaśruti	tulya	śruti
tulyā@kṛti	tulya	?
tulyā@tulya	tulya	?
tulyā@numāna	tulya	?
tulyā@ntaram	tulya	?
tulyā@bhidhāna	tulya	?
tulyā@rtha	tulya	?
tulyā@vastha	tulya	?
tulyo@dyoga	tulya	?
tulasikā	tulasi	?
tulasīdveṣā	tulasī	dveṣā
tulasīpattra	tulasī	pattra
tulasīvivāha	tulasī	vivāha
tulasīvṛndāvana	tulasī	vṛndāvana
tuvikūrmi	tuvi	kūrmi
tuvikūrmin	tuvi	kūrmin
tuvikratu	tuvi	kratu
tuvikṣa	tuvi	kṣa
tuvikṣatra	tuvi	kṣatra
tuvigra	tuvi	gra
tuvigrābha	tuvi	grābha
tuvigri	tuvi	gri
tuvigrīva	tuvi	grīva
tuvijāta	tuvi	jāta
tuvideṣṇa	tuvi	deṣṇa
tuvidyumna	tuvi	dyumna
tuvinṛmṇa	tuvi	nṛmṇa
tuviprati	tuvi	prati
tuvibādha	tuvi	bādha
tuvibrahman	tuvi	brahman
tuvimagha	tuvi	magha
tuvimanyu	tuvi	manyu
tuvimātra	tuvi	mātra
tuvimrakṣa	tuvi	mrakṣa
tuvirādhas	tuvi	rādhas
tuvivāja	tuvi	vāja
tuviśagma	tuvi	śagma
tuviśuṣma	tuvi	śuṣma
tuviśravas	tuvi	śravas
tuviṣvaṇas	tuvi	ṣvaṇas
tuviṣvaṇi	tuvi	ṣvaṇi
tuviṣvan	tuvi	ṣvan
tuviṣṭama	tuviṣ	ṭama
tuviṣmat	tuviṣ	mat
tuvīmagha	tuvī	magha
tuvīrava	tuvī	rava
tuvīravas	tuvī	ravas
tuṣṭikara	tuṣṭi	kara
tuṣṭijanana	tuṣṭi	janana
tuṣṭida	tuṣṭi	da
tuṣṭimat	tuṣṭi	mat
tuṣakhaṇḍana	tuṣa	khaṇḍana
tuṣagraha	tuṣa	graha
tuṣaja	tuṣa	ja
tuṣajaka	tuṣa	?
tuṣadhānya	tuṣa	dhānya
tuṣapakva	tuṣa	pakva
tuṣasāra	tuṣa	sāra
tuṣā@gni	tuṣa	?
tuṣā@nala	tuṣa	?
tuṣā@mbu	tuṣa	?
tuṣo@ttha	tuṣa	?
tuṣo@daka	tuṣa	?
tuṣārakaṇa	tuṣāra	kaṇa
tuṣārakara	tuṣāra	kara
tuṣārakiraṇa	tuṣāra	kiraṇa
tuṣāragiri	tuṣāra	giri
tuṣāragaura	tuṣāra	gaura
tuṣāragharaṭṭikā	tuṣāra	gharaṭṭikā
tuṣāratviṣ	tuṣāra	tviṣ
tuṣāradyuti	tuṣāra	dyuti
tuṣārapatana	tuṣāra	patana
tuṣāramūrti	tuṣāra	mūrti
tuṣāraraśmi	tuṣāra	raśmi
tuṣārartu	tuṣāra	rtu
tuṣāravarṣa	tuṣāra	varṣa
tuṣāravarṣin	tuṣāra	varṣin
tuṣāraśikharin	tuṣāra	śikharin
tuṣāraśaila	tuṣāra	śaila
tuṣārasruti	tuṣāra	sruti
tuṣārā@ṃśu	tuṣāra	?
tuṣārā@dri	tuṣāra	?
tuṣitakāyika	tuṣita	kāyika
tuhinakaṇa	tuhina	kaṇa
tuhinakara	tuhina	kara
tuhinakiraṇa	tuhina	kiraṇa
tuhinakṣiti-bhṛt	tuhina	kṣiti-bhṛt
tuhinakṣmā-bhṛt	tuhina	kṣmā-bhṛt
tuhinagiri	tuhina	giri
tuhinagu	tuhina	gu
tuhinadyuti	tuhina	dyuti
tuhinadīdhiti	tuhina	dīdhiti
tuhinamayūkha	tuhina	mayūkha
tuhinaraśmi	tuhina	raśmi
tuhinaśarkarā	tuhina	śarkarā
tuhinaśaila	tuhina	śaila
tuhinā@ṃśu	tuhina	?
tuhinā@cala	tuhina	?
tuhinā@dri	tuhina	?
tūṇadhāra	tūṇa	dhāra
tūṇamukha	tūṇa	mukha
tūṇavat	tūṇa	vat
tūṇi	tūṇaka	?
tūṇika	tūṇaka	?
tūṇin	tūṇaka	?
tūṇīkānta	tūṇī	kānta
tūṇīkṛ	tūṇī	?
tūṇīdhāra	tūṇī	dhāra
tūṇīśaya	tūṇī	śaya
tūṇīra	tūṇīka	?
tūṇavadhma	tūṇava	dhma
tūtuji	tūtujāna	?
tūbaraka	tūbara	?
tūrghna	tūr	ghna
tūrṇāśa	tūr	ṇāśa
tūrṇaga	tūrṇa	ga
tūrṇataram	tūrṇa	taram
tūrṇo@dita	tūrṇa	?
tūrṇaka	tūrṇa	?
tūrṇy-artha	tūrṇi	?
tūrya	tūrti	?
tūryakhaṇḍa	tūrya	khaṇḍa
tūryagaṇḍa	tūrya	gaṇḍa
tūryaghoṣa	tūrya	ghoṣa
tūryamaya	tūrya	maya
tūryau@gha	tūrya	?
tūryā@ṃśa	tūrya	?
tūrvi	tūrvayāṇa	?
tūlakaṇa	tūla	kaṇa
tūlakārmuka	tūla	kārmuka
tūlacāpa	tūla	cāpa
tūladāham	tūla	dāham
tūlanālā	tūla	nālā
tūlanālikā	tūla	nālikā
tūlanālī	tūla	nālī
tūlapaṭikā	tūla	paṭikā
tūlapaṭī	tūla	paṭī
tūlapicu	tūla	picu
tūlapīṭhī	tūla	pīṭhī
tūlapūrṇa	tūla	pūrṇa
tūlaphala	tūla	phala
tūlamūla	tūla	mūla
tūlalāsikā	tūla	lāsikā
tūlavatī	tūla	vatī
tūlavṛkṣa	tūla	vṛkṣa
tūlaśarkarā	tūla	śarkarā
tūlaśodhana	tūla	śodhana
tūlaśodhinī	tūla	śodhinī
tūlasadṛśa-sukumāra-pāṇitā	tūla	sadṛśa-sukumāra-pāṇitā
tūlasecana	tūla	secana
tūli	tūlaka	?
tūlika	tūlaka	?
tūlinī	tūlaka	?
tūṣā@dhāna	tūṣa	?
tūṣṇīṃviprakramaṇa	tūṣṇīṃ	viprakramaṇa
tūṣṇīṃśaṃsa	tūṣṇīṃ	śaṃsa
tūṣṇīṃśīla	tūṣṇīṃ	śīla
tūṣṇīṃsāra	tūṣṇīṃ	sāra
tūṣṇīṃsthāna	tūṣṇīṃ	sthāna
tūṣṇīṃhoma	tūṣṇīṃ	homa
tūṣṇīṃgaṅga	tūṣṇīṃ	gaṅga
tūṣṇīṃjapa	tūṣṇīṃ	japa
tūṣṇīṃdaṇḍa	tūṣṇīṃ	daṇḍa
tūṣṇīṃbhāva	tūṣṇīṃ	bhāva
tūṣṇīṃbhāvam	tūṣṇīṃ	bhāvam
tūṣṇīṃbhūta	tūṣṇīṃ	bhūta
tūṣṇīṃbhūya	tūṣṇīṃ	bhūya
tūṣṇīm	tūṣṇīka	?
tṛṃhaṇīya	tṛṃhaṇa	?
tṛcakḷpta	tṛca	kḷpta
tṛcabhāgā	tṛca	bhāgā
tṛṇakarṇa	tṛṇa	karṇa
tṛṇakāṇḍa	tṛṇa	kāṇḍa
tṛṇakāṣṭha	tṛṇa	kāṣṭha
tṛṇakuṅkuma	tṛṇa	kuṅkuma
tṛṇakuñcaka	tṛṇa	kuñcaka
tṛṇakuṭi	tṛṇa	kuṭi
tṛṇakuṭī	tṛṇa	kuṭī
tṛṇakuṭīra	tṛṇa	kuṭīra
tṛṇakuṭīraka	tṛṇa	kuṭīraka
tṛṇakūṭa	tṛṇa	kūṭa
tṛṇakūrcikā	tṛṇa	kūrcikā
tṛṇakūrma	tṛṇa	kūrma
tṛṇaketakī	tṛṇa	ketakī
tṛṇaketu	tṛṇa	ketu
tṛṇaketuka	tṛṇa	ketuka
tṛṇagaḍa	tṛṇa	gaḍa
tṛṇagaṇanā	tṛṇa	gaṇanā
tṛṇagaṇāya	tṛṇa	?
tṛṇagandhā	tṛṇa	gandhā
tṛṇagodhā	tṛṇa	godhā
tṛṇagaura	tṛṇa	gaura
tṛṇagranthi	tṛṇa	granthi
tṛṇagrāhin	tṛṇa	grāhin
tṛṇacara	tṛṇa	cara
tṛṇacchedin	tṛṇa	cchedin
tṛṇajambhan	tṛṇa	jambhan
tṛṇajalāyukā	tṛṇa	jalāyukā
tṛṇajalūkā	tṛṇa	jalūkā
tṛṇajantu	tṛṇa	jantu
tṛṇajāti	tṛṇa	jāti
tṛṇajyotis	tṛṇa	jyotis
tṛṇatā	tṛṇa	tā
tṛṇatva	tṛṇa	tva
tṛṇatvaca	tṛṇa	tvaca
tṛṇadruma	tṛṇa	druma
tṛṇadhānya	tṛṇa	dhānya
tṛṇadhvaja	tṛṇa	dhvaja
tṛṇanimbā	tṛṇa	nimbā
tṛṇapa	tṛṇa	pa
tṛṇapañca-mūla	tṛṇa	pañca-mūla
tṛṇapañcikā	tṛṇa	pañcikā
tṛṇapattrikā	tṛṇa	pattrikā
tṛṇapattrī	tṛṇa	pattrī
tṛṇapadī	tṛṇa	padī
tṛṇaparṇī	tṛṇa	parṇī
tṛṇapāṇi	tṛṇa	pāṇi
tṛṇapīḍa	tṛṇa	pīḍa
tṛṇapuruṣaka	tṛṇa	puruṣaka
tṛṇapulaka	tṛṇa	pulaka
tṛṇapulī	tṛṇa	pulī
tṛṇapuṣpa	tṛṇa	puṣpa
tṛṇapūla	tṛṇa	pūla
tṛṇapūlaka	tṛṇa	pūlaka
tṛṇapūlika	tṛṇa	pūlika
tṛṇaprāya	tṛṇa	prāya
tṛṇaprā@sana	tṛṇa	prā@sana
tṛṇabalva-jā	tṛṇa	balva-jā
tṛṇabindu	tṛṇa	bindu
tṛṇabīja	tṛṇa	bīja
tṛṇabījaka	tṛṇa	bījaka
tṛṇabījo@ttama	tṛṇa	bījo@ttama
tṛṇabhuj	tṛṇa	bhuj
tṛṇabhūta	tṛṇa	bhūta
tṛṇamaṇi	tṛṇa	maṇi
tṛṇamaya	tṛṇa	maya
tṛṇamuṣṭi	tṛṇa	muṣṭi
tṛṇarāj	tṛṇa	rāj
tṛṇarāja	tṛṇa	rāja
tṛṇarājan	tṛṇa	rājan
tṛṇalava	tṛṇa	lava
tṛṇavat	tṛṇa	vat
tṛṇavistara	tṛṇa	vistara
tṛṇavṛkṣa	tṛṇa	vṛkṣa
tṛṇaśīta	tṛṇa	śīta
tṛṇaśūnya	tṛṇa	śūnya
tṛṇaśūlya	tṛṇa	śūlya
tṛṇaśoṇita	tṛṇa	śoṇita
tṛṇaśoṣaka	tṛṇa	śoṣaka
tṛṇaśauṇḍikā	tṛṇa	śauṇḍikā
tṛṇaṣaṭ-pada	tṛṇa	ṣaṭ-pada
tṛṇasaṃcaya	tṛṇa	saṃcaya
tṛṇasaṃvara	tṛṇa	saṃvara
tṛṇasaṃvāha	tṛṇa	saṃvāha
tṛṇasāra	tṛṇa	sāra
tṛṇasiṃha	tṛṇa	siṃha
tṛṇasomā@ṅgiras	tṛṇa	somā@ṅgiras
tṛṇaskanda	tṛṇa	skanda
tṛṇaskanda	tṛṇa	skanda
tṛṇastāraka	tṛṇa	stāraka
tṛṇaharmya	tṛṇa	harmya
tṛṇā@gni	tṛṇa	?
tṛṇā@ṅkura	tṛṇa	?
tṛṇā@ñcana	tṛṇa	?
tṛṇā@ñjana	tṛṇa	?
tṛṇā@ṭavī	tṛṇa	?
tṛṇā@ḍhya	tṛṇa	?
tṛṇā@da	tṛṇa	?
tṛṇā@dhipa	tṛṇa	?
tṛṇā@nna	tṛṇa	?
tṛṇā@mla	tṛṇa	?
tṛṇā@ri	tṛṇa	?
tṛṇā@varta	tṛṇa	?
tṛṇā@śa	tṛṇa	?
tṛṇā@śana	tṛṇa	?
tṛṇā@śin	tṛṇa	?
tṛṇā@sṛj	tṛṇa	?
tṛṇe@kṣu	tṛṇa	?
tṛṇe@ndra	tṛṇa	?
tṛṇai@dha	tṛṇa	?
tṛṇo@ttama	tṛṇa	?
tṛṇo@ttha	tṛṇa	?
tṛṇo@daka	tṛṇa	?
tṛṇo@dbhava	tṛṇa	?
tṛṇo@lapa	tṛṇa	?
tṛṇo@lkā	tṛṇa	?
tṛṇau@kas	tṛṇa	?
tṛṇau@ṣadha	tṛṇa	?
tṛṇakīyā	tṛṇaka	?
tṛṇaya	tṛṇaka	?
tṛṇasa	tṛṇaka	?
tṛṇīkṛ	tṛṇaka	?
tṛṇīya	tṛṇaka	?
tṛṇyā	tṛṇaka	?
tṛṇāvallī	tṛṇāmalla	?
tṛtīyakaraṇī	tṛtīya	karaṇī
tṛtīyatā	tṛtīya	tā
tṛtīyatva	tṛtīya	tva
tṛtīyadivasa	tṛtīya	divasa
tṛtīyaprakṛti	tṛtīya	prakṛti
tṛtīyabhikṣā	tṛtīya	bhikṣā
tṛtīyasavana	tṛtīya	savana
tṛtīyasvara	tṛtīya	svara
tṛtīyā@ṃśa	tṛtīya	?
tṛtīyakajvara	tṛtīyaka	jvara
tṛtīyākṛ	tṛtīyā	?
tṛtīyāsamāsa	tṛtīyā	samāsa
tṛtīyika	tṛtīyā	?
tṛtīyin	tṛtīyā	?
tṛpat	tṛpa	?
tṛpala	tṛpa	?
tṛpāya	tṛpa	?
tṛpita	tṛpa	?
tṛpu	tṛpa	?
tṛptatā	tṛpta	tā
tṛptā@ṃśu	tṛpta	?
tṛptā@tman	tṛpta	?
tṛptikara	tṛpti	kara
tṛptikāraka	tṛpti	kāraka
tṛptikṛt	tṛpti	kṛt
tṛptighna	tṛpti	ghna
tṛptida	tṛpti	da
tṛptidīpa	tṛpti	dīpa
tṛptimat	tṛpti	mat
tṛptiyoga	tṛpti	yoga
tṛpradaṃśin	tṛpra	daṃśin
tṛmpaṇīya	tṛmpaṇa	?
tṛṣābhū	tṛṣā	bhū
tṛṣāroga	tṛṣā	roga
tṛṣā@rta	tṛṣā	?
tṛṣāha	tṛṣā	ha
tṛṣito@ttarā	tṛṣita	?
tṛṣucyavas	tṛṣu	cyavas
tṛṣucyut	tṛṣu	cyut
tṛṣṭajambha	tṛṣṭa	jambha
tṛṣṭadaṃśman	tṛṣṭa	daṃśman
tṛṣṭadhūma	tṛṣṭa	dhūma
tṛṣṭavandana	tṛṣṭa	vandana
tṛṣṭā@mā	tṛṣṭa	?
tṛṣṇākṣaya	tṛṣṇā	kṣaya
tṛṣṇāghna	tṛṣṇā	ghna
tṛṣṇāmāra	tṛṣṇā	māra
tṛṣṇā@ri	tṛṣṇā	?
tṛṣṇā@rta	tṛṣṇā	?
tṛṣṇāvarūtrī	tṛṣṇā	varūtrī
tṛṣṇāsaṅga	tṛṣṇā	saṅga
tejapattra	teja	pattra
tejapāla	teja	pāla
tejavatī	teja	vatī
tejavalkala	teja	valkala
tejasiṃha	teja	siṃha
tejaḥpattra	tejaḥ	pattra
tejaḥpāla	tejaḥ	pāla
tejaḥprabha	tejaḥ	prabha
tejaḥphala	tejaḥ	phala
tejaḥsambhava	tejaḥ	sambhava
tejaḥsiṃha	tejaḥ	siṃha
tejaḥsena	tejaḥ	sena
tejā@hvā	tejaḥ	?
tejanaka	tejana	?
tejanin	tejana	?
tejanī-danta	tejana	?
tejita	tejana	?
tejinī	tejana	?
tejaska	tejas	ka
tejaskara	tejas	kara
tejaskāma	tejas	kāma
tejaskāya	tejas	kāya
tejastimira	tejas	timira
tejastejas	tejas	tejas
tejastva	tejas	tva
tejaspada	tejas	pada
tejasvat	tejas	vat
tejasvin	tejas	vin
tejasya	tejasāmadhīśa	?
tejīyas	tejiṣṭha	?
tejoja	tejo	ja
tejojala	tejo	jala
tejonātha-tīrtha	tejo	nātha-tīrtha
tejonidhi	tejo	nidhi
tejobala-samāyukta	tejo	bala-samāyukta
tejobindū@paniṣad	tejo	bindū@paniṣad
tejobīja	tejo	bīja
tejobhaṅga	tejo	bhaṅga
tejo'bhibhavana	tejo	'bhibhavana
tejobhīru	tejo	bhīru
tejomaṇḍala	tejo	maṇḍala
tejomantha	tejo	mantha
tejomaya	tejo	maya
tejomātrā	tejo	mātrā
